source_serial_no,gasoline_pct,ethanol_pct,pentanol_pct,propanol_pct,butanol_pct,n_methylaniline_pct,torque_nm,speed_rpm,compression_ratio,cv_mj_kg,air_fuel_ratio,viscosity_m2_s,ron,oxygen_pct,bte_pct,bsfc_g_kwh,co_vol_pct,hc_ppm,source_excel_row,quarantine_reason,composition_sum_original_pct,composition_sum_pct,blend_group
396.0,98.5,0.0,1.5,0.0,1.5,0.0,2.07,1700.0,7.5,41.812,13.6,7.41e-07,97.31,3.89255,4.927505738332058,1901.639344262295,1.2497199999999995,617.0,417,fuel_composition_not_within_99.99_to_100.01_pct,101.5,,
397.0,98.5,0.0,1.5,0.0,1.5,0.0,4.03,2100.0,7.5,41.812,14.16,7.41e-07,97.31,3.89255,9.698355011476663,1102.564102564103,1.4637199999999995,413.0,418,fuel_composition_not_within_99.99_to_100.01_pct,101.5,,
398.0,98.5,0.0,1.5,0.0,1.5,0.0,6.01,2500.0,7.5,41.812,16.37,7.41e-07,97.31,3.89255,11.216879844316558,815.6424581005585,1.6527199999999995,388.0,419,fuel_composition_not_within_99.99_to_100.01_pct,101.5,,
399.0,98.5,0.0,1.5,0.0,1.5,0.0,7.0,2900.0,7.5,41.812,16.17,7.41e-07,97.31,3.89255,12.141256655684463,740.3846153846155,1.85463,335.0,420,fuel_composition_not_within_99.99_to_100.01_pct,101.5,,
400.0,98.5,0.0,1.5,0.0,1.5,0.0,8.09,3300.0,7.5,41.812,14.65,7.41e-07,97.31,3.89255,13.271969254620865,668.2242990654205,2.4217199999999997,260.0,421,fuel_composition_not_within_99.99_to_100.01_pct,101.5,,
401.0,97.5,0.0,2.5,0.0,2.5,0.0,2.01,1700.0,4.67,41.824,14.16,7.48e-07,97.2,3.90975,5.315513373837448,1833.333333333333,1.5507,680.0,422,fuel_composition_not_within_99.99_to_100.01_pct,102.5,,
402.0,97.5,0.0,2.5,0.0,2.5,0.0,4.04,2100.0,4.67,41.824,13.16,7.48e-07,97.2,3.90975,9.217344899700935,1016.806722689076,1.683,504.0,423,fuel_composition_not_within_99.99_to_100.01_pct,102.5,,
403.0,97.5,0.0,2.5,0.0,2.5,0.0,5.95,2500.0,4.67,41.824,14.79,7.48e-07,97.2,3.90975,11.612922444371298,789.7727272727271,1.9537,499.0,424,fuel_composition_not_within_99.99_to_100.01_pct,102.5,,
404.0,97.5,0.0,2.5,0.0,2.5,0.0,6.95,2900.0,4.67,41.824,15.26,7.48e-07,97.2,3.90975,12.044216630069904,765.625,2.1916999999999995,365.0,425,fuel_composition_not_within_99.99_to_100.01_pct,102.5,,
405.0,97.5,0.0,2.5,0.0,2.5,0.0,8.0,3300.0,4.67,41.824,15.24,7.48e-07,97.2,3.90975,13.447413138020625,701.8348623853211,2.7227,340.0,426,fuel_composition_not_within_99.99_to_100.01_pct,102.5,,
406.0,97.5,0.0,2.5,0.0,2.5,0.0,2.05,1700.0,5.5,41.824,14.32,7.48e-07,97.2,3.90975,5.340935826286727,1819.672131147541,1.4156999999999997,651.0,427,fuel_composition_not_within_99.99_to_100.01_pct,102.5,,
407.0,97.5,0.0,2.5,0.0,2.5,0.0,4.01,2100.0,5.5,41.824,14.15,7.48e-07,97.2,3.90975,9.312859820353903,974.7899159663865,1.654,473.0,428,fuel_composition_not_within_99.99_to_100.01_pct,102.5,,
408.0,97.5,0.0,2.5,0.0,2.5,0.0,5.97,2500.0,5.5,41.824,14.32,7.48e-07,97.2,3.90975,12.04050928692659,778.409090909091,1.8186999999999995,455.0,429,fuel_composition_not_within_99.99_to_100.01_pct,102.5,,
409.0,97.5,0.0,2.5,0.0,2.5,0.0,6.98,2900.0,5.5,41.824,14.65,7.48e-07,97.2,3.90975,12.529578542177935,760.9756097560977,2.0567,315.0,430,fuel_composition_not_within_99.99_to_100.01_pct,102.5,,
410.0,97.5,0.0,2.5,0.0,2.5,0.0,8.02,3300.0,5.5,41.824,15.92,7.48e-07,97.2,3.90975,13.460435541319054,649.9999999999999,2.5877,271.0,431,fuel_composition_not_within_99.99_to_100.01_pct,102.5,,
411.0,97.5,0.0,2.5,0.0,2.5,0.0,1.97,1700.0,6.5,41.824,14.73,7.48e-07,97.2,3.90975,5.460698954290601,1762.71186440678,1.2913199999999996,640.0,432,fuel_composition_not_within_99.99_to_100.01_pct,102.5,,
412.0,97.5,0.0,2.5,0.0,2.5,0.0,4.0,2100.0,6.5,41.824,13.61,7.48e-07,97.2,3.90975,9.627546646869808,924.3697478991598,1.5053199999999995,467.0,433,fuel_composition_not_within_99.99_to_100.01_pct,102.5,,
413.0,97.5,0.0,2.5,0.0,2.5,0.0,6.02,2500.0,6.5,41.824,13.55,7.48e-07,97.2,3.90975,12.241768968513913,769.6629213483147,1.6943199999999996,440.0,434,fuel_composition_not_within_99.99_to_100.01_pct,102.5,,
414.0,97.5,0.0,2.5,0.0,2.5,0.0,6.97,2900.0,6.5,41.824,15.02,7.48e-07,97.2,3.90975,12.7043311671237,712.1951219512196,1.953,425.0,435,fuel_composition_not_within_99.99_to_100.01_pct,102.5,,
415.0,97.5,0.0,2.5,0.0,2.5,0.0,7.92,3300.0,6.5,41.824,14.87,7.48e-07,97.2,3.90975,13.642333318904447,650.2242152466367,2.4633199999999995,257.0,436,fuel_composition_not_within_99.99_to_100.01_pct,102.5,,
