target,model,fold,mae,rmse,r2
bte_pct,Deep Neural Network (128-128-64-32),1,0.9778184106931636,1.2652766703036116,0.9897406161181984
bte_pct,Deep Neural Network (128-128-64-32),2,0.6567618460105923,0.9273660219470734,0.9943819956514225
bte_pct,Deep Neural Network (128-128-64-32),3,0.7994547102266006,1.1649809153829633,0.9917620038206879
bte_pct,Deep Neural Network (128-128-64-32),4,0.9631360277372887,1.342612273454314,0.9891798072709069
bte_pct,Deep Neural Network (128-128-64-32),5,0.8228129802469653,1.1524233031178284,0.9921945857145106
bsfc_g_kwh,Deep Neural Network (128-128-64-32),1,21.59608741772713,33.53591345811145,0.9937272559073557
bsfc_g_kwh,Deep Neural Network (128-128-64-32),2,48.62059051388597,105.74675341802178,0.935062243182304
bsfc_g_kwh,Deep Neural Network (128-128-64-32),3,35.447333167458964,73.4445411201204,0.9633888650373562
bsfc_g_kwh,Deep Neural Network (128-128-64-32),4,37.56608451820334,78.06504189589783,0.9717695683549846
bsfc_g_kwh,Deep Neural Network (128-128-64-32),5,28.19337319065998,49.02465430090839,0.9880653974495267
co_vol_pct,Deep Neural Network (128-128-64-32),1,0.2428304496925579,0.39123072075489485,0.9248208609692973
co_vol_pct,Deep Neural Network (128-128-64-32),2,0.273964545157963,0.4095767871092934,0.9306019760919155
co_vol_pct,Deep Neural Network (128-128-64-32),3,0.13004021406338165,0.16450305051786493,0.986571427085487
co_vol_pct,Deep Neural Network (128-128-64-32),4,0.2178097324098698,0.33309346298935877,0.9392139722787082
co_vol_pct,Deep Neural Network (128-128-64-32),5,0.3102510561687216,0.40072872423424816,0.888370266111957
hc_ppm,Deep Neural Network (128-128-64-32),1,46.423595202328336,74.90930994286651,0.8549526296855716
hc_ppm,Deep Neural Network (128-128-64-32),2,30.255855549080504,44.97483602330401,0.9354101944166633
hc_ppm,Deep Neural Network (128-128-64-32),3,22.85695018336183,37.57190200785091,0.9525106742959787
hc_ppm,Deep Neural Network (128-128-64-32),4,35.38033851657686,55.641050072613396,0.9193092112484145
hc_ppm,Deep Neural Network (128-128-64-32),5,36.51309612509439,53.89256842336065,0.931723198093984
